,Users,Game_name,user_rating
4,/user/colinsmall34,Red Dead Redemption 2,7
5,/user/theTRUTHson,Red Dead Redemption 2,7
6,/user/dannygards,Red Dead Redemption 2,7
8,/user/pongkrit03,Red Dead Redemption 2,8
10,/user/jj350,Red Dead Redemption 2,5
14,/user/CyberRobotnix,Red Dead Redemption 2,7
16,/user/GrumpyReviewer,Red Dead Redemption 2,6
34,/user/SylviaLehman,Red Dead Redemption 2,5
39,/user/NikolayG,Red Dead Redemption 2,5
40,/user/SCLancho,Red Dead Redemption 2,6
43,/user/Robobob,Red Dead Redemption 2,5
50,/user/Brandondwn,Red Dead Redemption 2,7
54,/user/Skibz,Red Dead Redemption 2,7
56,/user/Sillence,Red Dead Redemption 2,5
60,/user/Makaveli,Red Dead Redemption 2,6
71,/user/Pirante,Red Dead Redemption 2,5
75,/user/ConnorMak,Red Dead Redemption 2,6
78,/user/xgamrx365,Red Dead Redemption 2,5
83,/user/Voodoo123,Red Dead Redemption 2,5
86,/user/leaveit,Red Dead Redemption 2,7
89,/user/TredZ,Red Dead Redemption 2,7
97,/user/dogget76,Red Dead Redemption 2,6
98,/user/Leandrokratos,Red Dead Redemption 2,5
100,/user/J4MESOX4D,Grand Theft Auto V,8
107,/user/shatti,Grand Theft Auto V,10
108,/user/Paulocamilo,Grand Theft Auto V,10
109,/user/Cmmcfreire,Grand Theft Auto V,9
110,/user/CAKEwad,Grand Theft Auto V,10
113,/user/skskskddd,Grand Theft Auto V,10
114,/user/memokmo,Grand Theft Auto V,10
115,/user/GhostBigfoot,Grand Theft Auto V,6
116,/user/Sashik317,Grand Theft Auto V,10
117,/user/Oaz,Grand Theft Auto V,10
121,/user/jessda123,Grand Theft Auto V,10
122,/user/me5ut,Grand Theft Auto V,8
123,/user/Fryto,Grand Theft Auto V,8
127,/user/NZAnimeManga,Grand Theft Auto V,7
128,/user/Duke_Nukem,Grand Theft Auto V,10
130,/user/DSouls_guy,Grand Theft Auto V,10
132,/user/herrmoekl,Grand Theft Auto V,8
134,/user/Nick530,Grand Theft Auto V,7
136,/user/Vanpire73,Grand Theft Auto V,6
138,/user/MaxPayneIsGod,Grand Theft Auto V,10
139,/user/Red-Opposom-098,Grand Theft Auto V,8
142,/user/GAMERGUY25,Grand Theft Auto V,10
144,/user/Ghoster,Grand Theft Auto V,8
145,/user/system11,Grand Theft Auto V,7
146,/user/tonyneculai,Grand Theft Auto V,10
148,/user/LooTheLou,Grand Theft Auto V,10
151,/user/BigBiggo,Grand Theft Auto V,10
154,/user/nbt98001,Grand Theft Auto V,10
156,/user/DudeUnknown,Grand Theft Auto V,10
159,/user/gueli20,Grand Theft Auto V,8
162,/user/joaopontesvaz,Grand Theft Auto V,10
163,/user/CheeseLord,Grand Theft Auto V,10
164,/user/The_Mad_Pratter,Grand Theft Auto V,10
165,/user/CriticsCave,Grand Theft Auto V,10
167,/user/Kurgaan,Grand Theft Auto V,10
169,/user/Nikosphere,Grand Theft Auto V,10
171,/user/fercaveri,Grand Theft Auto V,9
172,/user/rikard131,Grand Theft Auto V,9
176,/user/RipThememes0,Grand Theft Auto V,9
178,/user/Blood8282,Grand Theft Auto V,9
179,/user/ToshLichev,Grand Theft Auto V,8
180,/user/avishay,Grand Theft Auto V,10
183,/user/rodericrinehart,Grand Theft Auto V,0
186,/user/R7critical,Grand Theft Auto V,5
187,/user/ignore78,Grand Theft Auto V,5
188,/user/blopho,Grand Theft Auto V,8
189,/user/Shiftian_Be,Grand Theft Auto V,7
190,/user/Mosh603,Grand Theft Auto V,10
191,/user/JaydogReviews,Grand Theft Auto V,5
192,/user/Rundusol,Grand Theft Auto V,9
195,/user/Big_Bear,Grand Theft Auto V,6
203,/user/smahlt,Persona 5 Royal,9
208,/user/SahilKChandio,Persona 5 Royal,10
212,/user/Gamingking007,Persona 5 Royal,10
213,/user/Volner,Persona 5 Royal,10
226,/user/TheMegaGodz,Persona 5 Royal,9
235,/user/SileSixEcho,Persona 5 Royal,10
236,/user/montagx,Persona 5 Royal,10
237,/user/saintninja,Persona 5 Royal,10
238,/user/carlinos,Persona 5 Royal,10
240,/user/Arma15,Persona 5 Royal,10
241,/user/Dubeau,Persona 5 Royal,9
242,/user/Cameroncoles,Persona 5 Royal,8
244,/user/LaDix,Persona 5 Royal,10
245,/user/VG_Alex,Persona 5 Royal,9
246,/user/iMustang,Persona 5 Royal,10
248,/user/BruceThePro,Persona 5 Royal,10
251,/user/Ambimunch,Persona 5 Royal,5
253,/user/razoom,Persona 5 Royal,10
254,/user/Vicente04,Persona 5 Royal,10
255,/user/DarkFireUmad,Persona 5 Royal,10
257,/user/yatiqueteim,Persona 5 Royal,9
258,/user/marvsfontanilla,Persona 5 Royal,10
260,/user/Montes6384,Persona 5 Royal,10
264,/user/KunderscoreKing,Persona 5 Royal,10
265,/user/Vahidasd95,Persona 5 Royal,10
267,/user/HarryFernandes,Persona 5 Royal,9
270,/user/Realness_g,Persona 5 Royal,10
274,/user/ThatOneTemplar,Persona 5 Royal,8
275,/user/terebigemuseji,Persona 5 Royal,8
276,/user/Memo_,Persona 5 Royal,10
293,/user/PHNTMRIDR,Persona 5 Royal,10
295,/user/rainyday2,Persona 5 Royal,7
298,/user/soki98,Persona 5 Royal,10
300,/user/Bbplayer,The Last of Us Remastered,6
307,/user/redrx8gt2005,The Last of Us Remastered,10
308,/user/Nataraja,The Last of Us Remastered,10
314,/user/Jorlan,The Last of Us Remastered,10
315,/user/longshot28,The Last of Us Remastered,10
325,/user/unluckydice,The Last of Us Remastered,10
326,/user/Stafmeister,The Last of Us Remastered,10
334,/user/lukszu,The Last of Us Remastered,10
335,/user/chrisjones914,The Last of Us Remastered,10
338,/user/rrafemi,The Last of Us Remastered,10
343,/user/Darleh,The Last of Us Remastered,10
346,/user/MikefromAngus,The Last of Us Remastered,10
347,/user/JackValentine,The Last of Us Remastered,10
348,/user/RSJohn7293,The Last of Us Remastered,10
359,/user/Poopypants123,The Last of Us Remastered,10
